Number of all nodes =  379659 
nodes in x-z-plane =  13324 
nodes in y-z-plane =  13324 
nodes in x-y-plane ~  4000 
ma_x0          50 
ma_y0          80 

Nodes along z-axis =  303 
No.           coord. value
 1             0             2,955724 
 222           21,99068      2,110868 
 223           22,09055      2,107706 
 224           22,19041      2,10455 
 225           22,29028      2,101398 
 226           22,39015      2,098251 
 227           22,49001      2,095109 
 228           22,58988      2,091971 
 229           22,68975      2,088839 
 230           22,78961      2,08571 
 231           22,88948      2,082587 
 232           22,98935      2,079468 
 233           23,08921      2,076354 
 234           23,18908      2,073244 
 235           23,28895      2,070139 
 236           23,38881      2,067039 
 237           23,48868      2,063944 
 238           23,58855      2,060853 
 239           23,68842      2,057766 
 240           23,78828      2,054685 
 241           23,88815      2,051607 
 242           23,98802      2,048535 
 243           24,08788      2,045467 
 244           24,18775      2,042404 
 245           24,28762      2,039345 
 246           24,38748      2,036291 
 247           24,48735      2,033241 
 248           24,58722      2,030196 
 249           24,68708      2,027156 
 250           24,78695      2,02412 
 251           24,88682      2,021088 
 252           24,98668      2,018061 
 253           25,08655      2,015039 
 254           25,18642      2,012021 
 255           25,28628      2,009008 
 256           25,38615      2,005999 
 257           25,48602      2,002995 
 258           25,58589      1,999995 
 259           25,68575      1,997 
 260           25,78562      1,994009 
 261           25,88549      1,991022 
 262           25,98535      1,988041 
 263           26,08522      1,985063 
 264           26,18509      1,98209 
 265           26,28495      1,979122 
 266           26,38482      1,976157 
 267           26,48469      1,973198 
 268           26,58455      1,970243 
 269           26,68442      1,967292 
 270           26,78429      1,964345 
 271           26,88415      1,961403 
 272           26,98402      1,958466 
 273           27,08389      1,955532 
 274           27,18375      1,952604 
 275           27,28362      1,949679 
 276           27,38349      1,946759 
 277           27,48336      1,943843 
 278           27,58322      1,940932 
 279           27,68309      1,938025 
 280           27,78296      1,935122 
 281           27,88282      1,932224 
 282           27,98269      1,92933 
 283           28,08256      1,926441 
 284           28,18242      1,923555 
 285           28,28229      1,920674 
 286           28,38216      1,917798 
 287           28,48202      1,914925 
 288           28,58189      1,912057 
 289           28,68176      1,909193 
 290           28,78162      1,906334 
 291           28,88149      1,903479 
 292           28,98136      1,900628 
 293           29,08123      1,897781 
 294           29,18109      1,894938 
 295           29,28096      1,8921 
 296           29,38083      1,889266 
 297           29,48069      1,886437 
 298           29,58056      1,883611 
 299           29,68043      1,88079 
 300           29,78029      1,877973 
 301           29,88016      1,87516 
 302           29,98003      1,875621 
 303           30            1,884862 

z_size =       0,099866844 
 2             302           70,9248372087753            87,65751 

Profiles in x-z-plane

 1            z =  0         40           x-z-plane
x =           Temp          Pump Light    z-disp        Sxx           Syy           Szz
-0.95         302.534       0.0           -3.67263E-3   -0.37141      2.21519       0.30024
-0.9          302.692       0.0           -3.67381E-3   -0.41152      2.03676       -0.11579
-0.85         302.868       0.0           -3.67493E-3   -0.6484       1.87981       -0.40661
-0.8          303.054       0.0           -3.67641E-3   -0.94529      1.78552       -0.31236
-0.75         303.252       0.0           -3.67789E-3   -0.57368      1.91637       -0.36888
-0.7          303.464       0.0           -3.67955E-3   -0.83074      1.76065       -0.2871
-0.65         303.692       0.0           -3.68134E-3   -0.84421      1.73661       -0.21251
-0.6          303.939       1.83571E-5    -3.68325E-3   -0.98467      1.60549       -0.44728
-0.55         304.207       1.66771E-4    -3.6853E-3    -0.80814      1.69123       -0.47766
-0.5          304.501       8.84824E-4    -3.68746E-3   -0.78629      1.68622       -0.34479
-0.45         304.827       4.01575E-3    -3.68976E-3   -0.50959      1.73625       -0.2294
-0.4          305.19        1.55922E-2    -3.69204E-3   -0.53095      1.72237       -0.29942
-0.35         305.598       5.18005E-2    -3.69448E-3   -0.11472      1.86831       1.09681E-2
-0.3          306.056       0.14726       -3.6968E-3    -0.18436      1.65919       -0.16299
-0.25         306.566       0.35827       -3.69918E-3   5.72581E-3    1.56161       -2.57546E-2
-0.2          307.11        0.74595       -3.70129E-3   1.26345E-2    1.16443       -0.46869
-0.15         307.652       1.32926       -3.70329E-3   0.39275       1.09514       -0.26363
-0.1          308.125       2.02726       -3.7047E-3    0.42428       0.82043       -0.36912
-5.E-2        308.453       2.64608       -3.70575E-3   0.7492        0.85815       4.98276E-2
-2.22045E-16  308.568       2.95572       -3.70588E-3   0.65745       0.65274       -0.22542
5.E-2         308.445       2.82529       -3.70551E-3   0.79363       0.85635       0.11314
0.1           308.109       2.31079       -3.70422E-3   0.48466       0.8936        -9.32922E-2
0.15          307.63        1.61699       -3.70252E-3   0.41996       1.13831       2.30789E-2
0.2           307.084       0.96793       -3.70027E-3   8.84274E-2    1.13582       -0.21989
0.25          306.538       0.49558       -3.69797E-3   -6.54394E-2   1.35301       -8.50111E-2
0.3           306.029       0.217         -3.6953E-3    -0.39234      1.3426        -0.38664
0.35          305.572       8.12422E-2    -3.69278E-3   -0.29075      1.60901       -8.20995E-2
0.4           305.166       2.60038E-2    -3.69009E-3   -0.5248       1.55159       -0.30447
0.45          304.805       7.11451E-3    -3.68762E-3   -0.50821      1.65065       -0.17632
0.5           304.482       1.66354E-3    -3.68505E-3   -0.61988      1.61404       -0.24198
0.55          304.189       3.3238E-4     -3.68273E-3   -0.68593      1.68142       -0.11125
0.6           303.922       5.12314E-5    -3.68037E-3   -0.93553      1.49574       -0.50132
0.65          303.677       0.0           -3.67837E-3   -0.66614      1.70208       -0.18219
0.7           303.45        0.0           -3.67622E-3   -1.03249      1.53647       -0.42366
0.75          303.238       0.0           -3.67442E-3   -0.75077      1.64899       -0.2671
0.8           303.04        0.0           -3.67256E-3   -0.5729       1.64259       -0.35625
0.85          302.854       0.0           -3.67107E-3   -0.39335      1.82299       -0.11569
0.9           302.677       0.0           -3.66956E-3   -0.13758      1.90866       -0.36288
0.95          302.512       0.0           -3.66809E-3   0.69591       2.50026       0.3186
1.            302.275       0.0           -3.66436E-3   1.72868       2.84636       1.27611

 2            z =  0,0199734               44           x-z-plane
x =           Temp          Pump Light    z-disp        Sxx           Syy           Szz
-0.99995      302.339       0.0           -3.66691E-3   0.11182       2.38683       0.26958
-0.95         302.521       0.0           -3.66782E-3   -0.22771      2.24865       0.17506
-0.9          302.691       0.0           -3.66902E-3   -0.26438      2.1781        0.19999
-0.85         302.868       0.0           -3.67012E-3   -0.56389      1.90816       -1.30962E-3
-0.8          303.054       0.0           -3.67154E-3   -0.52277      1.92805       2.3371E-2
-0.75         303.253       0.0           -3.67302E-3   -0.58265      1.88845       -1.49775E-2
-0.7          303.464       0.0           -3.6746E-3    -0.71723      1.7201        -9.95503E-2
-0.65         303.692       0.0           -3.67634E-3   -0.78849      1.68006       -0.12016
-0.6          303.939       4.02291E-5    -3.67825E-3   -0.72994      1.62748       -0.14452
-0.55         304.207       2.71286E-4    -3.68027E-3   -0.77306      1.59628       -0.16497
-0.5          304.502       1.3738E-3     -3.68235E-3   -0.61138      1.60569       -0.10202
-0.45         304.827       5.94882E-3    -3.6846E-3    -0.58617      1.55588       -8.34767E-2
-0.4          305.19        2.20344E-2    -3.68681E-3   -0.41861      1.61975       -2.31177E-2
-0.35         305.598       6.98372E-2    -3.68917E-3   -0.32154      1.52366       2.86497E-2
-0.3          306.058       0.18947       -3.69143E-3   -0.24748      1.38497       -1.35366E-2
-0.25         306.567       0.44018       -3.69371E-3   -0.24691      1.14369       -3.87606E-2
-0.2          307.113       0.87595       -3.69579E-3   -0.11357      0.86563       -0.11223
-0.15         307.654       1.49357       -3.69765E-3   -5.45147E-2   0.59948       -0.12532
-0.1          308.128       2.18264       -3.69901E-3   -5.615E-2     0.26294       -0.30459
-5.E-2        308.454       2.73424       -3.69995E-3   -2.93968E-2   8.21163E-2    -0.28332
-2.22045E-16  308.568       2.93666       -3.70012E-3   3.30937E-2    -2.59055E-2   -0.36823
5.E-2         308.443       2.70437       -3.69971E-3   -4.75105E-2   4.60175E-2    -0.29413
0.1           308.106       2.13538       -3.69852E-3   -8.15333E-2   0.24049       -0.29463
0.15          307.627       1.44561       -3.69688E-3   -0.10125      0.56153       -0.10202
0.2           307.082       0.83895       -3.69476E-3   -0.14719      0.7832        -0.13393
0.25          306.536       0.41729       -3.69252E-3   -0.27369      1.03521       -7.56106E-3
0.3           306.028       0.17785       -3.68996E-3   -0.32371      1.22067       -2.34902E-2
0.35          305.571       6.49303E-2    -3.68748E-3   -0.31167      1.4495        0.10575
0.4           305.166       2.02991E-2    -3.68489E-3   -0.37698      1.52177       3.21687E-2
0.45          304.805       5.43236E-3    -3.68245E-3   -0.46547      1.53624       6.91414E-2
0.5           304.482       1.24401E-3    -3.67995E-3   -0.46369      1.6129        2.90685E-2
0.55          304.189       2.43685E-4    -3.67764E-3   -0.65944      1.59128       1.00177E-3
0.6           303.922       3.475E-5      -3.67539E-3   -0.62379      1.63731       -5.59268E-2
0.65          303.677       0.0           -3.67339E-3   -0.69956      1.63851       1.93186E-2
0.7           303.45        0.0           -3.6713E-3    -0.81549      1.60729       -0.11812
0.75          303.238       0.0           -3.66952E-3   -0.51796      1.72419       0.10543
0.8           303.04        0.0           -3.66772E-3   -0.27247      1.80477       0.13722
0.85          302.853       0.0           -3.66624E-3   -0.22611      1.92745       0.27663
0.9           302.677       0.0           -3.66481E-3   -2.32007E-2   2.00654       0.2505
0.95          302.508       0.0           -3.6633E-3    0.35112       2.69674       0.98562
1.            302.332       0.0           -3.65964E-3   0.52231       2.69044       -2.11497
1.            302.333       0.0           -3.65964E-3   0.87839       1.37825       -1.4436
1.            302.333       0.0           -3.65964E-3   -0.43126      1.76102       -2.88727
1.00005       302.332       0.0           -3.65963E-3   4.8966        3.52426       -2.30561

 3            z =  0,1198402               44           x-z-plane
x =           Temp          Pump Light    z-disp        Sxx           Syy           Szz
-0.99995      302.371       0.0           -3.64301E-3   0.25724       2.22954       0.55507
-0.95         302.53        0.0           -3.64375E-3   2.85268E-2    2.11081       0.48333
-0.9          302.694       0.0           -3.64468E-3   -0.18155      2.00811       0.50832
-0.85         302.868       0.0           -3.64569E-3   -0.23723      1.80151       0.36354
-0.8          303.054       0.0           -3.64695E-3   -0.26364      1.82682       0.39565
-0.75         303.251       0.0           -3.64826E-3   -0.33451      1.75297       0.37876
-0.7          303.462       0.0           -3.64968E-3   -0.46128      1.61457       0.29012
-0.65         303.69        0.0           -3.65123E-3   -0.48523      1.5197        0.26417
-0.6          303.936       3.80005E-5    -3.65292E-3   -0.60518      1.36926       0.2265
-0.55         304.204       2.58876E-4    -3.65471E-3   -0.6583       1.31267       0.21633
-0.5          304.497       1.31488E-3    -3.65654E-3   -0.62531      1.21612       0.20666
-0.45         304.822       5.71146E-3    -3.65847E-3   -0.63272      1.11801       0.24773
-0.4          305.184       2.12248E-2    -3.6604E-3    -0.70375      0.96379       0.17994
-0.35         305.591       6.75064E-2    -3.66236E-3   -0.74238      0.75805       0.15644
-0.3          306.049       0.18383       -3.66425E-3   -0.9316       0.4429        1.67514E-2
-0.25         306.558       0.42878       -3.66607E-3   -1.15894      -1.46251E-2   -0.17441
-0.2          307.103       0.85692       -3.6677E-3    -1.31435      -0.42149      -0.37441
-0.15         307.645       1.4678        -3.66911E-3   -1.43405      -0.85533      -0.56847
-0.1          308.12        2.15541       -3.67016E-3   -1.64451      -1.32834      -0.84926
-5.E-2        308.448       2.71402       -3.67077E-3   -1.72631      -1.64415      -0.96178
-2.22045E-16  308.565       2.93068       -3.67089E-3   -1.77318      -1.75281      -1.05254
5.E-2         308.443       2.71402       -3.67052E-3   -1.73598      -1.64247      -0.95468
0.1           308.109       2.15541       -3.66962E-3   -1.66689      -1.35982      -0.82828
0.15          307.631       1.4678        -3.66826E-3   -1.47789      -0.92977      -0.56675
0.2           307.087       0.85692       -3.66665E-3   -1.23553      -0.43812      -0.3334
0.25          306.542       0.42878       -3.66475E-3   -1.08965      -3.20381E-2   -9.40343E-2
0.3           306.033       0.18383       -3.66269E-3   -0.95385      0.3236        6.63097E-3
0.35          305.575       6.75064E-2    -3.66054E-3   -0.76138      0.68347       0.19426
0.4           305.169       2.12248E-2    -3.65836E-3   -0.70903      0.856         0.21591
0.45          304.808       5.71146E-3    -3.65618E-3   -0.62301      1.02146       0.29647
0.5           304.484       1.31488E-3    -3.65403E-3   -0.57006      1.18337       0.30464
0.55          304.191       2.58876E-4    -3.65195E-3   -0.58252      1.24781       0.30903
0.6           303.924       3.80005E-5    -3.64998E-3   -0.56174      1.32664       0.28573
0.65          303.678       0.0           -3.64812E-3   -0.50446      1.45413       0.35259
0.7           303.451       0.0           -3.64632E-3   -0.51499      1.48523       0.28802
0.75          303.239       0.0           -3.6446E-3    -0.36338      1.56263       0.41636
0.8           303.041       0.0           -3.64303E-3   -0.17906      1.75409       0.49464
0.85          302.856       0.0           -3.64158E-3   -0.31054      1.76649       0.55296
0.9           302.68        0.0           -3.64035E-3   -0.25681      1.91983       0.59858
0.95          302.512       0.0           -3.6392E-3    -0.33507      1.81623       0.26411
1.            302.355       0.0           -3.63901E-3   -0.56272      0.90921       -0.74419
1.            302.355       0.0           -3.639E-3     -0.46384      1.6205        -0.83715
1.            302.355       0.0           -3.63901E-3   -0.85922      1.03129       -1.00318
1.00005       302.354       0.0           -3.63901E-3   0.29598       1.61439       0.95967

 4            z =  0,2197071               44           x-z-plane
x =           Temp          Pump Light    z-disp        Sxx           Syy           Szz
-0.99995      302.369       0.0           -3.61874E-3   0.24905       1.91238       0.56268
-0.95         302.526       0.0           -3.61929E-3   4.4447E-2     1.92299       0.53538
-0.9          302.691       0.0           -3.62004E-3   -0.13257      1.81818       0.43273
-0.85         302.865       0.0           -3.62097E-3   -0.25714      1.61522       0.3324
-0.8          303.05        0.0           -3.62201E-3   -0.219        1.63253       0.3868
-0.75         303.248       0.0           -3.62312E-3   -0.45212      1.46562       0.28613
-0.7          303.459       0.0           -3.62437E-3   -0.57787      1.30558       0.18843
-0.65         303.686       0.0           -3.6257E-3    -0.60044      1.21401       0.19599
-0.6          303.932       3.79436E-5    -3.62711E-3   -0.76045      1.02613       0.14095
-0.55         304.2         2.58489E-4    -3.62863E-3   -0.90171      0.9224        0.10477
-0.5          304.493       1.31291E-3    -3.6302E-3    -0.92289      0.78934       9.48379E-2
-0.45         304.817       5.70291E-3    -3.63176E-3   -0.98461      0.63112       7.57343E-2
-0.4          305.179       2.1193E-2     -3.63338E-3   -1.11253      0.45174       1.01733E-3
-0.35         305.585       6.74053E-2    -3.63494E-3   -1.20907      0.21731       -5.94449E-2
-0.3          306.043       0.18356       -3.63644E-3   -1.48676      -0.17346      -0.27517
-0.25         306.551       0.42814       -3.63785E-3   -1.76804      -0.65487      -0.54067
-0.2          307.095       0.85563       -3.63911E-3   -1.97671      -1.11801      -0.81754
-0.15         307.637       1.4656        -3.64013E-3   -2.18722      -1.63033      -1.11403
-0.1          308.112       2.15219       -3.6409E-3    -2.42144      -2.13996      -1.45745
-5.E-2        308.441       2.70996       -3.64129E-3   -2.57896      -2.46756      -1.6872
-2.22045E-16  308.558       2.9263        -3.64137E-3   -2.61526      -2.59599      -1.77414
5.E-2         308.438       2.70996       -3.64104E-3   -2.56066      -2.4918       -1.688
0.1           308.106       2.15219       -3.64037E-3   -2.46783      -2.17738      -1.501
0.15          307.63        1.4656        -3.63931E-3   -2.19787      -1.66966      -1.1451
0.2           307.087       0.85563       -3.63806E-3   -1.90022      -1.13809      -0.77807
0.25          306.542       0.42814       -3.63655E-3   -1.73038      -0.72361      -0.5406
0.3           306.033       0.18356       -3.63491E-3   -1.50788      -0.27891      -0.29095
0.35          305.575       6.74053E-2    -3.63312E-3   -1.24521      0.12833       -7.2288E-2
0.4           305.169       2.1193E-2     -3.63132E-3   -1.13906      0.34847       1.70525E-2
0.45          304.807       5.70291E-3    -3.62944E-3   -0.99322      0.56326       0.11414
0.5           304.483       1.31291E-3    -3.62761E-3   -0.89382      0.71869       0.1561
0.55          304.19        2.58489E-4    -3.6258E-3    -0.81567      0.88486       0.20513
0.6           303.923       3.79436E-5    -3.62412E-3   -0.76936      0.99652       0.2054
0.65          303.677       0.0           -3.62247E-3   -0.60574      1.16415       0.28827
0.7           303.45        0.0           -3.62092E-3   -0.56362      1.21122       0.29347
0.75          303.238       0.0           -3.61936E-3   -0.35526      1.37893       0.39412
0.8           303.041       0.0           -3.61798E-3   -0.1027       1.52656       0.49615
0.85          302.855       0.0           -3.61662E-3   -0.13053      1.52235       0.48831
0.9           302.681       0.0           -3.61552E-3   8.76506E-2    1.64602       0.58436
0.95          302.515       0.0           -3.61439E-3   0.35376       1.92099       0.86708
1.            302.357       0.0           -3.6133E-3    0.60411       2.61694       1.23575
1.            302.357       0.0           -3.61329E-3   0.53435       1.41452       1.08279
1.            302.357       0.0           -3.61329E-3   0.9039        2.58723       1.48246
1.00005       302.357       0.0           -3.61329E-3   2.71107       3.21439       1.67151

 5            z =  0,3195739               44           x-z-plane
x =           Temp          Pump Light    z-disp        Sxx           Syy           Szz
-0.99995      302.365       0.0           -3.59458E-3   0.26715       1.83894       0.56409
-0.95         302.521       0.0           -3.59498E-3   0.10728       1.87936       0.55647
